
Rk,Gtm,Week,Date,Day,HorA,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds.1,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP,Team,Year
14.0,14.0,15.0,2019-12-12,Thu,,NYJ,W,42,21,,15,24,62.5,212,5,8.8,13.0,130.6,1,0,34,218,1,6.4,59,430,7.29,0,0,5,4,5,181,11,10,2,23,2,8,1,1,6,35,0,0,0,31:38,rav,2019
15.0,15.0,16.0,2019-12-22,Sun,@,CLE,W,31,15,,20,31,64.5,238,3,7.7,9.61,120.1,0,0,40,243,1,6.1,71,481,6.77,1,1,4,4,2,102,13,16,2,31,7,11,0,1,7,50,1,0,1,34:19,rav,2019
16.0,16.0,17.0,2019-12-29,Sun,,PIT,W,28,10,,11,21,52.4,81,0,3.9,1.71,42.0,3,15,44,223,1,5.1,68,304,4.47,4,4,2,2,3,140,3,15,1,19,7,16,1,2,6,35,1,1,2,39:27,rav,2019
,,,,,,,14-2,531,282,,289,440,65.7,3225,37,7.3,8.19,107.8,28,125,596,3296,21,5.5,1064,6521,6.13,29,28,59,57,41,1855,171,188,27,386,88,187,17,24,109,867,7,8,15,556:32,rav,2019
1.0,1.0,1.0,2020-09-13,Sun,,CLE,W,38,6,,21,26,80.8,270,3,10.4,12.69,148.4,2,14,30,111,2,3.7,58,381,6.57,1,1,5,5,3,125,16,7,0,23,6,11,0,0,7,66,1,0,1,29:58,rav,2020
2.0,2.0,2.0,2020-09-20,Sun,@,HOU,W,33,16,,18,24,75.0,177,1,7.4,8.21,109.2,4,27,37,230,1,6.2,65,407,6.26,4,4,3,3,2,94,11,11,1,23,5,14,2,2,3,21,0,0,0,34:51,rav,2020
3.0,3.0,3.0,2020-09-28,Mon,,KAN,L,20,34,,15,28,53.6,70,1,2.5,3.21,71.1,4,27,21,158,0,7.5,53,228,4.3,2,2,2,2,3,147,5,8,3,16,3,9,0,1,6,45,1,0,1,26:04,rav,2020
4.0,4.0,4.0,2020-10-04,Sun,@,WAS,W,31,17,,15,23,65.2,206,2,9.0,6.78,86.5,1,2,32,144,2,4.5,56,350,6.25,1,1,4,4,3,141,10,7,1,18,5,11,2,2,5,30,0,2,2,29:22,rav,2020
5.0,5.0,5.0,2020-10-11,Sun,,CIN,W,27,3,,19,37,51.4,171,2,4.6,4.49,70.9,1,9,24,161,0,6.7,62,332,5.35,3,2,3,3,4,177,10,6,1,17,7,15,0,1,4,25,0,1,1,25:21,rav,2020
6.0,6.0,6.0,2020-10-18,Sun,@,PHI,W,30,28,,16,27,59.3,173,1,6.4,7.15,90.5,3,13,37,182,2,4.9,67,355,5.3,3,3,3,3,7,325,10,7,0,17,6,16,0,0,12,132,0,0,0,36:30,rav,2020
7.0,7.0,8.0,2020-11-01,Sun,,PIT,L,24,28,,13,28,46.4,192,2,6.9,5.07,63.4,4,16,47,265,1,5.6,79,457,5.78,1,1,3,3,3,119,11,13,1,25,8,15,1,2,9,110,2,2,4,35:22,rav,2020
8.0,8.0,9.0,2020-11-08,Sun,@,IND,W,24,10,,19,23,82.6,156,0,6.8,6.78,94.9,2,14,38,110,2,2.9,63,266,4.22,1,1,3,3,6,268,9,9,1,19,5,13,1,1,5,55,1,0,1,33:26,rav,2020
9.0,9.0,10.0,2020-11-15,Sun,@,NWE,L,17,23,,24,34,70.6,242,2,7.1,6.97,97.9,2,7,28,115,0,4.1,64,357,5.58,1,1,2,2,3,151,11,7,1,19,6,13,1,3,8,64,0,1,1,32:34,rav,2020
10.0,10.0,11.0,2020-11-22,Sun,,TEN,L,24,30,OT,17,29,58.6,177,1,6.1,5.24,73.5,1,9,33,129,1,3.9,63,306,4.86,3,3,1,1,3,126,9,9,3,21,9,15,0,0,6,81,0,1,1,31:06,rav,2020
11.0,11.0,12.0,2020-12-02,Wed,@,PIT,L,14,19,,9,18,50.0,90,1,5.0,3.61,60.0,3,20,28,129,1,4.6,49,219,4.47,0,0,2,2,7,321,1,8,1,10,3,13,1,1,7,86,1,1,2,26:21,rav,2020
12.0,12.0,13.0,2020-12-08,Tue,,DAL,W,34,17,,12,17,70.6,107,2,6.3,6.0,101.8,0,0,37,294,2,7.9,54,401,7.43,3,2,4,4,1,34,2,16,1,19,5,11,1,1,4,23,0,1,1,27:34,rav,2020
13.0,13.0,14.0,2020-12-14,Mon,@,CLE,W,47,42,,12,21,57.1,154,1,7.3,8.29,96.1,4,22,32,231,5,7.2,57,385,6.75,1,1,5,4,4,172,9,13,3,25,6,11,1,1,8,69,0,0,0,28:03,rav,2020
14.0,14.0,15.0,2020-12-20,Sun,,JAX,W,40,14,,19,26,73.1,250,3,9.6,10.19,125.5,1,0,37,159,2,4.3,64,409,6.39,2,1,5,5,0,0,13,11,2,26,8,12,1,2,4,40,0,1,1,31:48,rav,2020
15.0,15.0,16.0,2020-12-27,Sun,,NYG,W,27,13,,17,26,65.4,183,2,7.0,8.58,111.5,0,0,40,249,1,6.2,66,432,6.55,2,2,3,3,2,68,10,15,0,25,8,11,0,0,10,65,1,0,1,35:09,rav,2020
16.0,16.0,17.0,2021-01-03,Sun,@,CIN,W,38,3,,11,19,57.9,121,3,6.4,7.16,94.5,0,0,54,404,2,7.5,73,525,7.19,1,1,5,5,2,100,5,19,0,24,11,17,1,2,6,49,0,1,1,40:31,rav,2020
,,,,,,,11-5,468,303,,257,406,63.3,2739,27,6.7,6.86,93.8,32,180,555,3071,24,5.5,993,5810,5.85,29,26,53,52,53,2368,142,166,19,327,101,207,12,19,104,961,7,11,18,504:00,rav,2020
1.0,1.0,1.0,2021-09-13,Mon,@,LVR,L,27,33,OT,19,30,63.3,217,1,7.2,7.9,96.1,3,18,34,189,2,5.6,67,406,6.06,2,2,3,3,4,179,11,8,1,20,3,12,1,2,5,71,2,0,2,32:14,rav,2021
2.0,2.0,2.0,2021-09-19,Sun,,KAN,W,36,35,,18,26,69.2,230,1,8.8,6.15,77.4,1,9,41,251,3,6.1,68,481,7.07,1,1,3,3,2,95,11,18,2,31,6,11,1,1,8,55,0,2,2,35:59,rav,2021
3.0,3.0,3.0,2021-09-26,Sun,@,DET,W,19,17,,16,31,51.6,271,1,8.7,7.94,78.8,4,16,22,116,0,5.3,57,387,6.79,5,4,1,1,3,137,10,5,0,15,1,10,1,1,6,69,0,1,1,27:27,rav,2021
4.0,4.0,4.0,2021-10-03,Sun,@,DEN,W,23,7,,22,37,59.5,304,1,8.2,8.76,94.9,3,12,30,102,1,3.4,70,406,5.8,3,3,2,2,7,335,14,6,0,20,7,17,0,0,6,55,0,0,0,33:07,rav,2021
5.0,5.0,5.0,2021-10-11,Mon,,IND,W,31,25,OT,37,43,86.0,437,4,10.2,12.02,140.0,2,5,25,86,0,3.4,70,523,7.47,1,1,0,0,4,198,22,7,1,30,3,8,0,0,8,74,1,0,1,33:51,rav,2021
6.0,6.0,6.0,2021-10-17,Sun,,LAC,W,34,6,,19,27,70.4,140,1,5.2,2.59,63.8,3,27,38,187,3,4.9,68,327,4.81,2,2,4,4,2,86,12,14,1,27,6,11,0,0,2,15,0,2,2,38:07,rav,2021
7.0,7.0,7.0,2021-10-24,Sun,,CIN,L,17,41,,20,42,47.6,278,1,6.6,7.1,77.3,5,18,24,115,1,4.8,71,393,5.54,1,1,2,2,6,264,12,8,0,20,5,16,1,4,5,46,0,0,0,31:49,rav,2021
8.0,8.0,9.0,2021-11-07,Sun,,MIN,W,34,31,OT,27,41,65.9,253,3,6.2,5.44,86.7,3,13,45,247,1,5.5,89,500,5.62,2,2,4,4,3,125,15,17,4,36,6,15,3,3,8,61,0,2,2,46:04,rav,2021
9.0,9.0,10.0,2021-11-11,Thu,@,MIA,L,10,22,,26,43,60.5,210,1,4.9,4.3,70.9,4,28,23,94,0,4.1,70,304,4.34,2,1,1,1,8,321,12,7,4,23,2,14,0,0,4,20,1,1,2,31:48,rav,2021
10.0,10.0,11.0,2021-11-21,Sun,@,CHI,W,16,13,,26,36,72.2,176,0,4.9,3.64,71.1,6,43,34,123,1,3.6,76,299,3.93,3,3,1,1,6,260,12,9,2,23,7,16,1,1,6,36,0,1,1,38:50,rav,2021
11.0,11.0,12.0,2021-11-28,Sun,,CLE,W,16,10,,20,32,62.5,155,1,4.8,-0.16,45.2,2,10,43,148,0,3.4,77,303,3.94,3,3,1,1,3,136,6,12,4,22,7,15,1,1,5,54,0,4,4,37:04,rav,2021
12.0,12.0,13.0,2021-12-05,Sun,@,PIT,L,19,20,,23,37,62.2,219,1,5.9,5.24,76.3,7,34,25,107,1,4.3,69,326,4.72,2,2,1,1,4,203,12,7,3,22,8,16,0,0,10,55,0,1,1,36:30,rav,2021
13.0,13.0,14.0,2021-12-12,Sun,@,CLE,L,22,24,,31,42,73.8,271,1,6.5,6.93,98.4,4,16,23,118,1,5.1,69,389,5.64,3,3,1,1,5,228,15,5,1,21,1,12,3,4,10,129,2,0,2,26:10,rav,2021
14.0,14.0,15.0,2021-12-19,Sun,,GNB,L,30,31,,28,40,70.0,211,2,5.3,6.28,99.1,1,4,26,143,2,5.5,67,354,5.28,1,1,3,3,1,42,12,10,2,24,7,13,2,4,8,56,0,0,0,28:50,rav,2021
15.0,15.0,16.0,2021-12-26,Sun,@,CIN,L,21,41,,28,40,70.0,295,2,7.4,7.25,97.4,1,9,16,39,1,2.4,57,334,5.86,0,0,3,3,3,133,19,2,0,21,6,11,0,1,6,27,0,1,1,22:57,rav,2021
16.0,16.0,17.0,2022-01-02,Sun,,LAR,L,19,20,,20,32,62.5,162,0,5.1,3.66,62.2,5,35,32,165,0,5.2,69,327,4.74,4,4,1,1,3,139,9,10,0,19,4,14,3,3,4,24,1,1,2,33:39,rav,2021
17.0,17.0,18.0,2022-01-09,Sun,,PIT,L,13,16,OT,16,32,50.0,132,0,4.1,1.31,34.9,3,9,36,249,1,6.9,71,381,5.37,2,2,1,1,7,268,5,14,1,20,3,14,1,2,1,5,1,2,3,31:16,rav,2021
,,,,,,,8-9,387,392,,396,611,64.8,3961,21,6.5,5.84,82.3,57,306,517,2479,18,4.8,1185,6440,5.43,37,35,32,32,71,3149,209,159,26,394,82,225,18,27,102,852,8,18,26,565:42,rav,2021
1.0,1.0,1.0,2022-09-11,Sun,@,NYJ,W,24,9,,17,30,56.7,211,3,7.0,7.53,98.1,2,2,21,63,0,3.0,53,274,5.17,1,1,3,3,6,291,8,4,1,13,5,13,0,0,5,29,0,1,1,27:30,rav,2022
2.0,2.0,2.0,2022-09-18,Sun,,MIA,L,38,42,,21,29,72.4,318,3,11.0,13.03,142.6,0,0,25,155,1,6.2,54,473,8.76,1,1,5,5,2,81,13,6,4,23,3,10,1,3,1,5,0,0,0,25:13,rav,2022
3.0,3.0,3.0,2022-09-25,Sun,@,NWE,W,37,26,,18,29,62.1,206,4,7.1,8.31,108.6,4,12,26,188,1,7.2,59,394,6.68,1,1,5,4,3,133,11,8,0,19,5,11,0,0,2,10,1,1,2,30:36,rav,2022
4.0,4.0,4.0,2022-10-02,Sun,,BUF,L,20,23,,20,29,69.0,134,1,4.6,2.21,61.6,2,10,33,162,1,4.9,64,296,4.63,2,2,2,2,3,152,7,13,2,22,6,13,1,2,9,70,0,2,2,38:10,rav,2022
5.0,5.0,5.0,2022-10-09,Sun,,CIN,W,19,17,,19,32,59.4,170,1,5.3,4.53,71.1,1,4,28,155,0,5.5,61,325,5.33,4,4,1,1,2,79,7,13,2,22,5,11,0,1,6,48,0,1,1,29:59,rav,2022
6.0,6.0,6.0,2022-10-16,Sun,@,NYG,L,20,24,,17,32,53.1,195,1,6.1,5.31,69.1,2,15,24,211,1,8.8,58,406,7.0,3,2,2,2,2,95,13,10,0,23,4,10,0,0,10,74,1,1,2,28:08,rav,2022
7.0,7.0,7.0,2022-10-23,Sun,,CLE,W,23,20,,9,16,56.3,94,0,5.9,5.88,73.4,3,26,44,160,2,3.6,63,254,4.03,3,3,2,2,3,181,5,11,1,17,7,15,2,2,3,53,1,0,1,34:04,rav,2022
8.0,8.0,8.0,2022-10-27,Thu,@,TAM,W,27,22,,27,38,71.1,222,2,5.8,6.89,103.2,3,16,33,231,1,7.0,74,453,6.12,3,2,3,3,4,210,15,11,1,27,6,13,0,1,7,101,0,0,0,38:23,rav,2022
9.0,9.0,9.0,2022-11-07,Mon,@,NOR,W,27,13,,12,22,54.5,131,1,6.0,6.86,87.5,3,2,40,188,2,4.7,65,319,4.91,2,2,3,3,4,193,7,14,2,23,9,15,0,0,5,31,0,0,0,37:47,rav,2022
10.0,10.0,11.0,2022-11-20,Sun,,CAR,W,13,3,,24,33,72.7,193,0,5.8,4.48,74.4,3,16,30,115,1,3.8,66,308,4.67,2,2,1,1,7,251,9,10,0,19,6,15,0,0,10,93,0,1,1,33:14,rav,2022
11.0,11.0,12.0,2022-11-27,Sun,@,JAX,L,27,28,,16,32,50.0,253,1,7.9,8.53,87.1,1,1,35,162,1,4.6,68,415,6.1,5,4,1,1,1,53,10,13,1,24,8,14,0,1,3,20,2,0,2,32:39,rav,2022
12.0,12.0,13.0,2022-12-04,Sun,,DEN,W,10,9,,30,37,81.1,182,0,4.9,2.49,64.6,4,16,28,103,1,3.7,69,285,4.13,1,1,1,1,6,303,8,9,3,20,3,13,3,3,3,15,0,2,2,32:29,rav,2022
13.0,13.0,14.0,2022-12-11,Sun,@,PIT,W,16,14,,11,17,64.7,94,0,5.5,5.53,79.0,2,10,42,215,1,5.1,61,309,5.07,3,3,1,1,3,124,5,12,1,18,4,13,1,2,5,46,0,0,0,32:59,rav,2022
14.0,14.0,15.0,2022-12-17,Sat,@,CLE,L,3,13,,17,30,56.7,126,0,4.2,2.7,52.9,3,12,28,198,0,7.1,61,324,5.31,3,1,0,0,1,41,6,10,1,17,5,12,0,3,3,25,1,1,2,26:52,rav,2022
15.0,15.0,16.0,2022-12-24,Sat,,ATL,W,17,9,,9,17,52.9,115,1,6.8,7.94,94.0,0,0,34,184,0,5.4,51,299,5.86,4,3,0,0,3,115,5,10,0,15,4,12,0,0,1,6,0,0,0,27:16,rav,2022
16.0,16.0,17.0,2023-01-01,Sun,,PIT,L,13,16,,14,21,66.7,120,1,5.7,4.52,77.5,1,10,28,120,0,4.3,50,240,4.8,2,2,1,1,4,179,8,6,1,15,5,12,0,0,4,30,0,1,1,25:46,rav,2022
17.0,17.0,18.0,2023-01-08,Sun,@,CIN,L,16,27,,19,44,43.2,276,0,6.3,4.23,45.3,4,10,27,110,1,4.1,75,386,5.15,3,3,1,1,3,137,12,7,1,20,6,16,0,2,5,22,2,2,4,28:41,rav,2022
,,,,,,,10-7,350,315,,300,488,61.5,3040,19,6.2,5.81,81.1,38,162,526,2720,14,5.2,1052,5760,5.48,43,37,32,31,57,2618,149,167,21,337,91,218,8,20,82,678,8,13,21,529:46,rav,2022
1.0,1.0,1.0,2023-09-10,Sun,,HOU,W,25,9,,17,22,77.3,155,0,7.0,5.0,76.9,4,14,32,110,3,3.4,58,265,4.57,1,1,2,2,5,249,8,7,3,18,8,15,0,0,13,106,1,1,2,30:55,rav,2023
2.0,2.0,2.0,2023-09-17,Sun,@,CIN,W,27,24,,24,33,72.7,237,2,7.2,8.39,112.8,0,0,37,178,1,4.8,70,415,5.93,3,2,3,3,2,117,12,11,3,26,9,14,0,0,6,56,0,0,0,33:04,rav,2023
3.0,3.0,3.0,2023-09-24,Sun,,IND,L,19,22,OT,22,31,71.0,178,0,5.7,5.74,85.1,4,24,37,186,2,5.0,72,364,5.06,2,1,2,2,7,329,7,12,1,20,6,16,0,1,1,5,2,0,2,32:18,rav,2023
4.0,4.0,4.0,2023-10-01,Sun,@,CLE,W,28,3,,15,19,78.9,165,2,8.7,10.79,137.9,3,21,33,131,2,4.0,55,296,5.38,0,0,4,4,7,334,8,7,1,16,4,12,1,1,8,92,1,0,1,29:50,rav,2023
5.0,5.0,5.0,2023-10-08,Sun,@,PIT,L,10,17,,22,38,57.9,210,0,5.5,4.34,62.4,4,26,25,125,1,5.0,67,335,5.0,1,1,1,1,5,154,11,7,1,19,5,14,0,2,2,20,2,1,3,30:14,rav,2023
6.0,6.0,6.0,2023-10-15,Sun,@,TEN,W,24,16,,21,30,70.0,221,1,7.4,6.53,88.3,1,2,39,139,0,3.6,70,360,5.14,6,6,1,0,3,146,9,9,2,20,8,16,0,0,9,88,0,1,1,35:42,rav,2023
7.0,7.0,7.0,2023-10-22,Sun,,DET,W,38,6,,21,28,75.0,357,3,12.8,14.89,152.4,0,0,27,146,2,5.4,55,503,9.15,1,1,5,5,2,112,15,7,1,23,4,8,1,1,4,45,1,0,1,30:22,rav,2023
8.0,8.0,8.0,2023-10-29,Sun,@,ARI,W,31,24,,18,27,66.7,138,1,5.1,5.85,91.3,4,19,29,130,3,4.5,60,268,4.47,2,1,4,4,5,242,8,9,4,21,4,11,0,0,6,45,0,0,0,29:39,rav,2023
9.0,9.0,9.0,2023-11-05,Sun,,SEA,W,37,3,,26,33,78.8,217,1,6.6,7.18,104.2,1,8,41,298,3,7.3,75,515,6.87,3,3,4,4,2,113,11,16,2,29,6,13,1,2,3,11,2,0,2,40:04,rav,2023
10.0,10.0,10.0,2023-11-12,Sun,,CLE,L,31,33,,13,23,56.5,200,1,8.7,5.65,63.7,3,23,24,106,2,4.4,50,306,6.12,2,1,4,4,3,161,9,4,5,18,2,8,0,0,7,64,0,2,2,25:45,rav,2023
11.0,11.0,11.0,2023-11-16,Thu,,CIN,W,34,20,,16,26,61.5,248,2,9.5,11.08,118.7,3,16,31,157,2,5.1,60,405,6.75,2,2,4,4,4,182,9,10,3,22,6,12,0,0,9,110,0,0,0,30:37,rav,2023
12.0,12.0,12.0,2023-11-26,Sun,@,LAC,W,20,10,,18,32,56.3,164,1,5.1,5.75,80.7,2,13,35,197,1,5.6,69,361,5.23,3,2,2,2,3,121,9,10,1,20,4,13,1,3,5,42,0,0,0,33:23,rav,2023
13.0,13.0,14.0,2023-12-10,Sun,,LAR,W,37,31,OT,24,43,55.8,310,3,7.2,7.56,92.2,2,6,26,139,0,5.3,71,449,6.32,3,3,2,2,4,191,17,6,0,23,4,12,0,0,7,79,0,1,1,27:43,rav,2023
14.0,14.0,15.0,2023-12-17,Sun,@,JAX,W,23,7,,14,24,58.3,145,1,6.0,5.0,72.4,3,26,42,251,1,6.0,69,396,5.74,3,3,2,2,3,129,9,14,2,25,5,12,1,1,6,54,0,1,1,34:19,rav,2023
15.0,15.0,16.0,2023-12-25,Mon,@,SFO,W,33,19,,23,35,65.7,241,2,6.9,8.03,104.6,2,11,26,102,1,3.9,63,343,5.44,4,4,3,3,3,130,14,4,5,23,4,11,1,1,6,67,0,0,0,31:14,rav,2023
16.0,16.0,17.0,2023-12-31,Sun,,MIA,W,56,19,,19,22,86.4,331,6,15.0,20.5,158.3,1,9,32,160,2,5.0,55,491,8.93,0,0,8,8,2,71,15,8,1,24,4,7,1,1,7,45,1,0,1,30:23,rav,2023
17.0,17.0,18.0,2024-01-06,Sat,,PIT,L,10,17,,15,28,53.6,118,1,4.2,4.93,76.2,4,28,25,106,0,4.2,57,224,3.93,1,1,1,1,7,377,9,4,0,13,4,13,1,1,3,26,2,0,2,25:06,rav,2023
,,,,,,,13-4,483,280,,328,494,66.4,3635,27,7.4,7.81,100.4,41,246,541,2661,26,4.9,1076,6296,5.85,37,32,52,51,67,3158,180,145,35,360,87,207,8,14,102,955,12,7,19,530:38,rav,2023
1.0,1.0,1.0,2019-09-08,Sun,@,NYJ,W,17,16,,24,37,64.9,242,1,6.5,4.65,69.9,1,12,25,128,1,5.1,63,370,5.87,1,1,2,2,3,130,11,8,4,23,5,10,0,1,7,55,2,2,4,27:59,buf,2019
2.0,2.0,2.0,2019-09-15,Sun,@,NYG,W,28,14,,19,30,63.3,237,1,7.9,8.57,98.9,3,16,34,151,3,4.4,67,388,5.79,0,0,4,4,7,325,13,8,3,24,5,13,0,0,9,65,0,0,0,32:38,buf,2019
3.0,3.0,3.0,2019-09-22,Sun,,CIN,W,21,17,,23,36,63.9,241,1,6.7,6.0,80.9,1,2,36,175,1,4.9,73,416,5.7,3,2,1,1,5,173,12,11,2,25,5,13,0,0,7,55,1,1,2,36:54,buf,2019
4.0,4.0,4.0,2019-09-29,Sun,,NWE,L,10,16,,22,44,50.0,240,0,5.5,1.36,28.6,5,40,22,135,1,6.1,71,375,5.28,2,1,1,1,6,180,13,6,4,23,2,13,1,2,8,76,0,4,4,32:40,buf,2019
5.0,5.0,5.0,2019-10-06,Sun,@,TEN,W,14,7,,23,32,71.9,204,2,6.4,6.22,96.4,4,15,27,109,0,4.0,63,313,4.97,0,0,2,2,6,300,12,5,1,18,4,13,1,2,11,78,0,1,1,31:12,buf,2019
6.0,6.0,7.0,2019-10-20,Sun,,MIA,W,31,21,,16,26,61.5,188,2,7.2,8.77,109.1,2,14,23,117,0,5.1,51,305,5.98,3,3,2,2,3,127,10,5,2,17,3,10,0,0,9,83,0,0,0,26:29,buf,2019
7.0,7.0,8.0,2019-10-27,Sun,,PHI,L,13,31,,16,34,47.1,155,2,4.6,5.74,79.9,4,14,20,98,0,4.9,58,253,4.36,1,0,2,1,6,257,9,5,2,16,6,15,0,2,8,57,1,0,1,24:03,buf,2019
8.0,8.0,9.0,2019-11-03,Sun,,WAS,W,24,9,,14,20,70.0,146,1,7.3,8.3,107.5,2,14,39,122,2,3.1,61,268,4.39,1,1,3,3,3,120,7,10,1,18,6,12,1,2,2,20,0,0,0,31:47,buf,2019
9.0,9.0,10.0,2019-11-10,Sun,@,CLE,L,16,19,,22,41,53.7,260,0,6.3,6.34,73.2,1,6,20,84,2,4.2,62,344,5.55,2,0,2,2,4,199,12,6,2,20,5,13,0,2,7,40,0,0,0,28:14,buf,2019
10.0,10.0,11.0,2019-11-17,Sun,@,MIA,W,37,20,,21,33,63.6,256,3,7.8,9.58,117.7,0,0,34,168,1,4.9,67,424,6.33,3,3,4,4,5,218,12,9,1,22,5,14,1,1,5,50,0,0,0,30:09,buf,2019
11.0,11.0,12.0,2019-11-24,Sun,,DEN,W,20,3,,15,25,60.0,180,2,7.2,7.0,92.1,1,5,47,244,0,5.2,73,424,5.81,2,2,2,2,4,128,8,13,1,22,8,16,0,0,12,90,0,1,1,35:04,buf,2019
12.0,12.0,13.0,2019-11-28,Thu,@,DAL,W,26,15,,20,25,80.0,232,2,9.3,10.88,132.0,4,27,34,124,1,3.6,63,356,5.65,3,2,3,2,3,126,11,8,3,22,6,14,2,2,7,53,0,0,0,33:18,buf,2019
