
Rk,Gtm,Week,Date,Day,HorA,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds.1,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP,Team,Year
1.0,1.0,1.0,2020-09-14,Mon,,PIT,L,16,26,,26,41,63.4,262,2,6.4,5.17,77.5,3,17,20,29,0,1.5,64,291,4.55,1,1,1,1,5,193,16,2,2,20,8,15,1,1,4,25,0,2,2,28:16,nyg,2020
2.0,2.0,2.0,2020-09-20,Sun,@,CHI,L,13,17,,25,40,62.5,220,0,5.5,4.38,66.7,4,21,18,75,1,4.2,62,295,4.76,3,2,1,1,3,174,15,4,3,22,3,13,3,3,3,10,1,1,2,25:31,nyg,2020
3.0,3.0,3.0,2020-09-27,Sun,,SFO,L,9,36,,17,32,53.1,165,0,5.2,3.75,54.8,2,14,15,66,0,4.4,49,231,4.71,3,3,0,0,1,54,8,3,2,13,4,10,1,2,5,28,2,1,3,20:16,nyg,2020
4.0,4.0,4.0,2020-10-04,Sun,@,LAR,L,9,17,,23,36,63.9,159,0,4.4,3.17,62.2,5,31,25,136,0,5.4,66,295,4.47,3,3,0,0,5,216,11,7,1,19,4,13,1,2,4,20,0,1,1,33:18,nyg,2020
5.0,5.0,5.0,2020-10-11,Sun,@,DAL,L,34,37,,20,33,60.6,211,0,6.4,6.39,79.2,2,11,27,89,2,3.3,62,300,4.84,4,4,2,2,2,104,11,7,2,20,7,13,0,0,8,81,1,0,1,32:22,nyg,2020
6.0,6.0,6.0,2020-10-18,Sun,,WAS,W,20,19,,12,19,63.2,108,1,5.7,4.37,74.0,1,4,26,132,0,5.1,46,240,5.22,2,2,2,2,2,70,8,5,3,16,7,11,0,0,4,30,0,1,1,26:30,nyg,2020
7.0,7.0,7.0,2020-10-22,Thu,@,PHI,L,21,22,,20,30,66.7,165,2,5.5,5.33,88.9,3,22,22,160,1,7.3,55,325,5.91,0,0,3,3,6,265,8,6,3,17,3,10,0,0,9,62,2,1,3,27:22,nyg,2020
8.0,8.0,8.0,2020-11-02,Mon,,TAM,L,23,25,,26,42,61.9,256,2,6.1,4.9,75.1,3,18,24,101,1,4.2,69,357,5.17,1,1,2,2,4,144,17,6,1,24,4,11,2,2,7,73,0,2,2,29:50,nyg,2020
9.0,9.0,9.0,2020-11-08,Sun,@,WAS,W,23,20,,23,34,67.6,184,1,5.4,6.0,90.8,5,28,35,166,1,4.7,74,350,4.73,3,3,2,2,4,158,9,12,1,22,6,15,0,1,4,40,0,0,0,36:27,nyg,2020
10.0,10.0,10.0,2020-11-15,Sun,,PHI,W,27,17,,21,28,75.0,231,0,8.3,8.25,99.0,3,13,36,151,3,4.2,67,382,5.7,2,2,3,3,4,213,12,7,3,22,5,14,1,2,7,64,0,0,0,31:43,nyg,2020
11.0,11.0,12.0,2020-11-29,Sun,@,CIN,W,19,17,,22,38,57.9,244,0,6.4,6.42,77.1,0,0,42,142,1,3.4,80,386,4.83,4,4,1,1,5,233,11,8,0,19,9,21,3,3,5,51,1,0,1,37:26,nyg,2020
12.0,12.0,13.0,2020-12-06,Sun,@,SEA,W,17,12,,13,22,59.1,100,1,4.5,3.41,66.5,2,5,31,190,1,6.1,55,290,5.27,1,1,1,0,7,261,6,7,0,13,3,12,0,0,6,35,0,1,1,29:49,nyg,2020
13.0,13.0,14.0,2020-12-13,Sun,,ARI,L,7,26,,13,24,54.2,81,0,3.4,3.38,61.3,8,64,17,78,1,4.6,49,159,3.24,0,0,1,1,8,390,7,3,0,10,3,12,1,1,2,10,3,0,3,22:07,nyg,2020
14.0,14.0,15.0,2020-12-20,Sun,,CLE,L,6,20,,19,32,59.4,214,0,6.7,6.69,79.4,1,7,21,74,0,3.5,54,288,5.33,2,2,0,0,2,69,10,4,0,14,5,11,0,2,2,25,0,0,0,25:57,nyg,2020
15.0,15.0,16.0,2020-12-27,Sun,@,BAL,L,13,27,,24,41,58.5,215,1,5.2,5.73,80.8,6,37,12,54,0,4.5,59,269,4.56,2,2,1,1,3,141,16,4,4,24,1,10,1,3,5,35,0,0,0,24:51,nyg,2020
16.0,16.0,17.0,2021-01-03,Sun,,DAL,W,23,19,,17,25,68.0,211,2,8.4,8.24,103.9,2,18,28,125,1,4.5,55,336,6.11,1,1,3,2,5,226,13,6,3,22,0,7,0,0,6,45,1,1,2,27:27,nyg,2020
,,,,,,,6-10,280,357,,321,517,62.1,3026,12,5.9,5.36,77.1,50,310,399,1768,13,4.4,966,4794,4.96,32,31,23,21,66,2911,178,91,28,297,72,198,14,22,81,634,11,11,22,459:12,nyg,2020
1.0,1.0,1.0,2021-09-12,Sun,,DEN,L,13,27,,22,37,59.5,254,1,6.9,7.41,89.2,2,13,20,60,1,3.0,59,314,5.32,0,0,1,1,3,162,13,3,3,19,6,12,1,3,4,48,1,0,1,24:52,nyg,2021
2.0,2.0,2.0,2021-09-16,Thu,@,WAS,L,29,30,,22,32,68.8,228,1,7.1,7.75,99.5,4,21,28,163,1,5.8,64,391,6.11,5,5,2,2,3,123,10,7,4,21,4,12,0,0,11,81,0,0,0,31:44,nyg,2021
3.0,3.0,3.0,2021-09-26,Sun,,ATL,L,14,17,,24,35,68.6,246,0,7.0,7.03,88.5,2,20,27,100,1,3.7,64,346,5.41,2,2,0,0,5,229,12,7,2,21,7,14,0,0,8,53,1,0,1,31:51,nyg,2021
4.0,4.0,4.0,2021-10-03,Sun,@,NOR,W,27,21,OT,28,40,70.0,402,2,10.1,9.93,108.5,0,0,20,83,1,4.2,60,485,8.08,3,2,1,1,4,157,17,4,0,21,4,11,0,0,3,25,0,1,1,27:35,nyg,2021
5.0,5.0,5.0,2021-10-10,Sun,@,DAL,L,20,44,,21,39,53.8,294,1,7.5,5.74,65.5,0,0,25,73,1,2.9,64,367,5.73,3,2,2,2,2,90,15,3,2,20,4,13,2,3,5,48,0,2,2,27:48,nyg,2021
6.0,6.0,6.0,2021-10-17,Sun,,LAR,L,11,38,,29,51,56.9,201,0,3.9,1.29,41.4,4,41,18,60,1,3.3,73,261,3.58,1,1,0,0,4,210,15,4,2,21,4,15,2,4,5,27,1,3,4,27:38,nyg,2021
7.0,7.0,7.0,2021-10-24,Sun,,CAR,W,25,3,,24,34,70.6,199,1,5.9,6.44,95.1,2,20,31,103,1,3.3,67,302,4.51,3,3,2,2,5,229,11,7,3,21,7,16,0,1,8,60,0,0,0,34:35,nyg,2021
8.0,8.0,8.0,2021-11-01,Mon,@,KAN,L,17,20,,23,33,69.7,228,2,6.9,6.76,96.5,3,13,20,72,0,3.6,56,300,5.36,1,1,2,2,5,215,10,3,5,18,4,12,1,2,10,88,0,1,1,25:22,nyg,2021
9.0,9.0,9.0,2021-11-07,Sun,,LVR,W,23,16,,15,20,75.0,98,1,4.9,5.9,101.7,3,12,31,149,0,4.8,54,247,4.57,3,3,2,2,3,146,6,8,2,16,6,12,0,0,4,35,1,0,1,30:11,nyg,2021
10.0,10.0,11.0,2021-11-22,Mon,@,TAM,L,10,30,,23,39,59.0,149,1,3.8,2.03,54.3,2,18,13,66,0,5.1,54,215,3.98,1,1,1,1,4,193,8,4,3,15,1,9,1,3,4,30,1,2,3,24:21,nyg,2021
11.0,11.0,12.0,2021-11-28,Sun,,PHI,W,13,7,,19,30,63.3,194,1,6.5,7.13,92.9,1,8,27,70,0,2.6,58,264,4.55,3,2,1,1,5,196,12,4,1,17,3,12,1,1,2,15,0,0,0,32:02,nyg,2021
12.0,12.0,13.0,2021-12-05,Sun,@,MIA,L,9,20,,23,44,52.3,159,0,3.6,2.59,51.2,3,28,17,91,0,5.4,64,250,3.91,4,3,0,0,6,248,10,6,0,16,6,16,1,1,3,23,0,1,1,29:20,nyg,2021
13.0,13.0,14.0,2021-12-12,Sun,@,LAC,L,21,37,,17,37,45.9,181,2,4.9,4.76,67.5,2,10,26,135,1,5.2,65,316,4.86,0,0,1,1,5,228,8,10,2,20,7,14,0,2,3,20,1,1,2,25:40,nyg,2021
14.0,14.0,15.0,2021-12-19,Sun,,DAL,L,6,21,,19,36,52.8,178,0,4.9,1.19,31.9,1,3,24,124,0,5.2,61,302,4.95,2,2,0,0,2,101,10,3,2,15,6,14,1,3,6,34,1,3,4,26:37,nyg,2021
15.0,15.0,16.0,2021-12-26,Sun,@,PHI,L,10,34,,23,44,52.3,108,1,2.5,0.86,46.8,2,10,27,84,0,3.1,73,192,2.63,1,1,1,1,8,294,8,4,3,15,8,20,1,2,6,40,0,2,2,30:52,nyg,2021
16.0,16.0,17.0,2022-01-02,Sun,@,CHI,L,3,29,,4,11,36.4,-6,0,-0.5,-8.73,5.3,4,30,40,161,0,4.0,55,155,2.82,1,1,0,0,4,156,2,9,2,13,1,11,0,1,3,26,2,2,4,29:52,nyg,2021
17.0,17.0,18.0,2022-01-09,Sun,,WAS,L,7,22,,15,31,48.4,83,1,2.7,0.42,38.8,3,20,25,94,0,3.8,59,177,3.0,0,0,1,1,6,306,4,4,2,10,6,17,2,4,3,21,1,2,3,27:43,nyg,2021
,,,,,,,4-13,258,416,,351,593,59.2,3196,15,5.4,4.38,68.2,38,267,419,1688,8,4.0,1050,4884,4.65,33,29,17,17,74,3283,171,90,38,299,84,230,13,30,88,674,10,20,30,488:03,nyg,2021
1.0,1.0,1.0,2022-09-11,Sun,@,TEN,W,21,20,,17,21,81.0,156,2,7.4,7.19,109.5,5,32,32,238,1,7.4,58,394,6.79,0,0,1,1,6,309,7,11,1,19,2,10,1,1,8,45,1,1,2,28:54,nyg,2022
2.0,2.0,2.0,2022-09-18,Sun,,CAR,W,19,16,,22,34,64.7,162,1,4.8,5.35,85.7,3,14,33,103,0,3.1,70,265,3.79,4,4,1,1,5,253,8,8,2,18,6,18,1,1,8,62,0,0,0,36:05,nyg,2022
3.0,3.0,3.0,2022-09-26,Mon,,DAL,L,16,23,,20,37,54.1,169,0,4.6,3.35,54.9,5,27,25,167,1,6.7,67,336,5.01,4,3,1,1,3,135,8,10,4,22,3,11,0,1,8,57,0,1,1,27:18,nyg,2022
4.0,4.0,4.0,2022-10-02,Sun,,CHI,W,20,12,,9,16,56.3,71,0,4.4,1.63,41.4,1,11,44,262,2,6.0,61,333,5.46,3,2,2,2,5,273,5,14,2,21,6,14,0,0,7,55,1,1,2,31:17,nyg,2022
5.0,5.0,5.0,2022-10-09,Sun,@,GNB,W,27,22,,21,27,77.8,213,0,7.9,7.89,99.5,1,4,31,125,3,4.0,59,338,5.73,2,2,3,3,2,100,12,8,4,24,6,11,0,1,6,63,0,0,0,32:11,nyg,2022
6.0,6.0,6.0,2022-10-16,Sun,,BAL,W,24,20,,19,27,70.4,155,2,5.7,7.22,109.3,4,18,31,83,1,2.7,62,238,3.84,1,1,3,3,4,185,11,5,2,18,7,14,0,0,3,25,1,0,1,31:52,nyg,2022
